,address_line,approved_contractor,domestic_installer,email,name,pat,post_code,post_town,start_of_post_code,telephone,url
371,11 Kingsleigh Drive,1,1,sterlinguk@live.co.uk,Sterling UK Installations LTD,1,B36 9DQ,BIRMINGHAM,B36,07951930370,
372,102 Windward Way,1,1,info@partonelectricalservices.co.uk,Parton Electrical Services LTD,1,B36 0PF,Birmingham,B36,07852941904,
373,124 Coleshill Road,1,1,accounts@bjelectricalservices.co.uk,B J Electrical Services,1,B36 8AD,Birmingham,B36,01217831154,www.bjelectricalservices.co.uk
374,65 Douglas Avenue,1,1,g.bonner@virgin.net,G B Electrical Services,1,B36 8EN,Birmingham,B36,07774801126,www.glbelec.co.uk
375,158 Cooks Lane,1,1,darrall@dr-electricalservices.com,D R Electrical Services,1,B37 6NP,Birmingham,B37,0121 7703790,
376,50 Worcester Walk,0,1,chris@merestone-electrical.co.uk,Merestone Electrical,0,B37 5NZ,"Marston Green, Birmingham",B37,07523753685,
377,"Unit 4, Burhill Way",1,1,richard@rhelectricalservices.co.uk,R H Electrical Services Ltd,1,B37 6RF,Birmingham,B37,01217707251,
378,"Epson House,82 Dunster Road, Chelmsley Wood",1,1,david.wilson@lakeruk.com,Laker Building Management Solutions Ltd,1,B37 7UW,Birmingham,B37,024 76841770,
379,37 Gilson Way,1,1,info@burntoutelectricalservices.co.uk,Burntout Electrical Services Ltd,1,B37 6BE,Birmingham,B37,07730354026,
380,25 Hemlingford Road,0,1,diversesparks@gmail.com,Diverse Sparks Ltd,0,B37 6DJ,Birmingham,B37,0121 240 8338,
381,10 Kite Green Close,1,1,denniscoton@btinternet.com,D.A.C Electrical Services,1,B37 6UP,Birmingham,B37,07813644630,
382,"Enterprise House Chelmunds Cross,1 Headingham Grove, Chelmsey Wood",1,1,sales@myelectricsservices.com,My Electrics Services Ltd,1,B37 7TP,"Birmingham, West Midlands",B37,0121 3660219,
383,"16 Raglan Way,Birmingham",1,1,greencraig3@gmail.com,GEM,1,B37 7TB,West Midlands,B37,07913663260,
384,"Lindon House,51 Elmdon Lane",1,1,rtelectrical@blueyonder.co.uk,RT Electrical & Computing Installations Ltd,1,B37 7DL,"Marston Green, Birmingham",B37,07966613608,
385,"114 Elmdon Lane,Marston Green",0,1,scpropdev@hotmail.co.uk,SGC Properties,0,B37 7EG,BIRMINGHAM,B37,0121 2469827,
386,"121 Elmdon Lane,Marston Green",1,1,Admin@citytechelectrical.co.uk,City Tech Electrical Ltd,1,B37 7DN,Birmingham,B37,07837935618,
387,"8 Ashfield Lane,Marston Green",1,1,lozcluney@aol.com,L P Cluney,1,B37 7FP,Birmingham,B37,0121 770 2532/ 07973 348797,
388,"3100 Park Square, Solihull Parkway,Birmingham Business Park",1,0,Brian.McCormack@imtechinviron.co.uk,Imtech Inviron Ltd,1,B37 7YN,Birmingham,B37,0121 779 7005,www.inviron.co.uk
389,"Units 2222 - 2226,The Crescent, Birmingham Business Park",1,1,wgordon@diamond-fs.com,Diamond Facilities Support Ltd,1,B37 7YE,Birmingham,B37,01675463900,
390,"2430 Regents Court,The Crescent, Brimingham Bussiness Park",1,1,Ian.lambert@regalme.co.uk,Regal Mechanical and Electrical Services,1,B37 7YE,Birminham,B37,07712895343,
391,"1310 Solihull Parkway,Birmingham Business Park",1,1,info@awfelectricalcontractors.co.uk,AWF Electrical Contractors ltd,1,B37 7YB,Birmingham,B37,07388320050,www.awfelectricalcontractors.co.uk
392,"Unit 3, Elmdon Trading Estate,Bickenhill Lane",1,0,chelsea.partridge@actemium.co.uk,Actemium Birmingham,1,B37 7HE,Birmingham,B37,0121 250 6000,
393,"Ardath Road,Birmingham",0,0,accounts@sixstargroup.com,Six Star Insulation Ltd,0,B38 9PN,West Midlands,B38,07958 357995,
394,"Unit 1,Ardath Road",1,1,malcolm@eachwayservices.co.uk,Luzco Ltd,1,B38 9PJ,Birmingham,B38,01214863695,www.eachwayservices.co.uk
395,21 Owens Croft,1,1,reza_tasuji@yahoo.co.uk,R.M.P Electrical & Security Services,1,B38 9AF,"Kings Norton, Birmingham",B38,07883975889,
396,"Sisefield Road,Kings Norton",1,1,info@ubitec.co.uk,UBITEC,1,B38 9BG,Birmingham,B38,01214549007,
397,1 Stone Close,1,1,pauldennyelectrical@blueyonder.co.uk,Paul Denny Electrical Ltd,1,B38 8QR,Birmingham,B38,07989268135,www.pauldennyelectrical.co.uk
398,19 Beaks Hill Road,0,1,paulsutton701@aol.com,Sutton Rental & Developments Ltd,0,B38 8BJ,Birmingham,B38,07968556162,
399,48 Granshaw Close,0,1,stevensonpropertyservices@blueyonder.co.uk,Stevenson Property Services Ltd,0,B38 8RA,Birmingham,B38,0121 628 1365,
400,62 Granshaw Close,0,1,rdmmaintenance@btinternet.com,R D M Maintenance,0,B38 8RA,Birmingham,B38,07545915669,
401,"46 Granshaw Close,Kings Norton",0,1,andybragg.electrical@hotmail.co.uk,Andrew Bragg,0,B38 8RA,Birmingham,B38,07811156896,
402,9 Redgate Close,1,1,p.forward@talktalk.net,Forward Contractors,1,B38 8YT,Birmingham,B38,07970269875,
403,9 Lydbrook Covert,1,1,ppcelectricalservices@gmail.com,PPC Electrical Services,1,B38 9TB,Birmingham,B38,07886 940 391,
404,"12 Calverley Road,Kings Norton",0,1,n.g.caulfieldelectrical@gmail.com,Harvest Oak Property Services,0,B38 8PW,Birmingham,B38,07975662130,
405,"156 Edgewood Road,Kings Norton",1,1,buildlecbirmingham@gmail.com,Buildlec Birmingham,1,B38 9RR,Birmingham,B38,07896519317,
406,"Unit 7, Great Barr Business Park,Baltimore Road",1,1,phil@philtech.com,Philtech Installations,1,B42 1DY,"Great Barr, Birmingham",B42,07973424919,
407,"Unit 1 Great Barr Business Park,Baltimore Road, Great Barr",1,1,remond.cosgrove@centralpower.co.uk,Central Power Ltd,1,B42 1DY,Birmingham,B42,,
408,"262 Rocky Lane,Perry Barr",1,1,cwcrookselectricals@gmail.com,C W Crooks Electrical,1,B42 1QX,Birmingham,B42,0121 357 7146,
409,103 Thornbridge Avenue,1,1,phil@secmidlandsltd.co.uk,S E C (Midlands) Ltd,1,B42 2AB,Birmingham,B42,01213 577237,
410,"107 Beeches Road,Great Bath",1,1,jasonyates155@msn.com,J Y Electrical,1,B42 2HL,Birmingham,B42,01527 837646,
411,50 Foden Road,0,1,jim.heating2009@btinternet.com,Heating & Domestic Services,0,B42 2EW,Birmingham,B42,01213578115,
412,22 Cathel Drive,0,1,info@positive-electrics.co.uk,Positive Electrics UK Limited,0,B42 1HH,Birmingham,B42,07944 950815,
413,"254 Appleton Avenue,Great Barr",1,1,balwinder@suraelectrical.com,Sura Electrical Ltd,1,B43 5QD,Birmingham,B43,07765241831,
414,18 Hembs Crescent,0,1,ekam17@hotmail.com,E S A Electrical,0,B43 5DQ,Birmingham,B43,07934705444,
415,1 Calverton Grove,1,1,darren.scruton@talktalk.net,DS Electrical Services,1,B43 5SD,Birmingham,B43,01213 583752,
416,"313 Hamstead Road,Great Barr",1,1,kenroyelectrics@yahoo.co.uk,Kenroy Electrics,1,B43 5TB,Birmingham,B43,07545477679,
417,27 Langdale Road,1,1,ashfaq-electricalengineer@hotmail.co.uk,Ashfaq Electrical Engineer,1,B43 5RB,Birmingham,B43,0121 357 2934,
418,8 Barrhill Close,1,1,qaderinasir@gmail.com,Pamir Electrics,1,B43 6LS,Birmingham,B43,07505144926,
419,8 Greenhill Gardens,1,1,nick.hob@hotmail.co.uk,Hobs Electrical,1,B43 7TB,Birmingham,B43,07855958231,
420,"345 Birmingham Road,Great Barr",1,1,amankc200@yahoo.co.uk,Mohan Singh,1,B43 7AR,Birmingham,B43,07774296500,
421,599 - 603 College Road,1,1,chris.govey@engie.com,ENGIE Regeneration Limited,1,B44 0AY,Birmingham,B44,01992 786634,
422,53 Elswick Road,1,1,pearcemccann2@hotmail.com,PME Installations,1,B44 0JG,Birmingham,B44,07446885899,
423,5 Wrekin Road,1,1,info@phcontracts.co.uk,P & H Contracts,1,B44 8HB,Birmingham,B44,07456927686,
424,24 Darleydale Avenue,1,1,mhmelectrical@hotmail.co.uk,MHM Electrical,1,B44 9UP,Birmingham,B44,07816824394,
425,38 Fairbourne Avenue,0,1,kdavis785@googlemail.com,"S & K Kitchens, Bathroom and Electrical Services",0,B44 9AN,Birmingham,B44,07956931792,
426,74 Dormington Road,1,1,dmelectricalcontractors@gmail.com,DM Electrical Contractors,1,B44 9LG,"Kingstanding, Birmingham",B44,07506746680,
427,"11, Paper Mill End,Great Barr",1,0,rod.surman@cpl-group.co.uk,CPL Service Response Ltd,1,B44 8NH,Birmingham,B44,0800 1182503,
428,"1230 Aldridge Road,Great Barr",1,1,j638edwards@outlook.com,J E Electrical Services,1,B44 8PE,Birmingham,B44,0121 360 0220,
429,"28 Grange Crescent,Rubery, Rednal",1,1,gesltd@sky.com,Grange Electrical Services Ltd,1,B45 9XB,Birmingham,B45,01214538660,
430,42 Grange Crescent,0,1,malpalmer@blueyonder.co.uk,Palmer Plumbing & Building Services Ltd,0,B45 9XB,Rubery,B45,01214 536846,
431,"13 Stockhill Drive, Rednal",0,1,bglelectrical@hotmail.co.uk,BGL Electrical,0,B45 9XU,Birmingham,B45,07738105800,
432,"17 Belmont Road,Rednal",1,1,petegates99@gmail.com,P J Electrical,1,B45 9LN,Birmingham,B45,0121 453 5304,
433,"15 Saville Close,Rednal",0,1,Ammoniteelectrical@gmail.com,Ammonite Electrical Services,0,B45 8EN,Birmingham,B45,07568326999,www.ammoniteelectrical.com
434,"1760 Bristol Road South,Rednal",1,1,ludlowbarringtonstewart@live.co.uk,Ludlow Electrical (Midlands) Ltd,1,B45 9PF,Birmingham,B45,0121 411 1182,
435,"75 Cliff Rock Road,Rednal",0,1,jonhillhill@yahoo.co.uk,Elite Electricals,0,B45 8QF,Birmingham,B45,0121 453 4002,
436,133 Cliff Rock Road,1,1,jermaine.mcintosh@water-spark.co.uk,Water Spark Property Services (Midlands),1,B45 8QF,Birmingham,B45,07794961688,www.wefix247.co.uk
437,"1730-1732 Bristol Road South,Rednal",1,1,post@idselectrical.co.uk,I D S Electrical Ltd,1,B45 9QB,Birmingham,B45,0121 453 7846,
438,"502 Lickey Road,Cofton Hackett",1,1,enquiries@the-arrow-group.co.uk,Arrow Services (Midlands) Ltd,1,B45 8UU,Birmingham,B45,01214577232,www.the-arrow-group.co.uk
439,"464 Groveley Lane,Cofton Hackett",0,1,robertblunn@btinternet.com,R B Electrical,0,B45 8UQ,Birmingham,B45,01214455842,
440,"40 Reservoir Road, Cofton Hackett",1,1,linnettelectrical@gmail.com,Linnett Electrical Services Limited,1,B45 8PN,"Birmingham, West Midlands",B45,07885635523,
441,"92-94 High Street,Coleshill",1,1,allroundelectric@aol.com,Allround Electrical Services Ltd,1,B46 3BL,North Warwickshire,B46,01675466996 / 07973 265708,
442,"Chantry House, High Street,Coleshill",1,1,frank@gwelectrical.services,GW Electrical Services Ltd,1,B46 3BP,Birmingham,B46,01675430412,
443,"52 Lichfield Road,Coleshill",0,1,cole_endelectrical@yahoo.co.uk,Cole End Electrical,0,B46 1EQ,BIRMINGHAM,B46,07859039414,
444,"Stewart Court,21 Coventry Road, Coleshill",0,0,stephensnow@stewartsplumbing.co.uk,Stewarts Plumbing & Heating Ltd,0,B46 3BB,Birmingham,B46,01675 489480,
445,"Wayside Gilson Road, Coleshill",1,1,deanattridge7650@gmail.com,Attease Construction And Property Manage,1,B46 1LN,"Birmingham, Warwickshire",B46,07932601699,
446,"Coleshill Manor Office Campus,South Drive, Coleshill",1,1,,King & Moffatt Electrical Ltd,1,B46 1DL,BIRMINGHAM,B46,01675465318,http://www.kingmoffatt.com/
447,"Unit 19, Roman Way,Coleshill Industrial Estate",1,1,Jas.Sahota@mitie.com,MITIE Ltd Electrical,1,B46 1HQ,Coleshill,B46,,
448,"Unit 19, Coleshill Ind Est,Roman Way, Coleshill",1,0,Darren.Smith@mitie.com,MITIE Ltd,1,B46 1HQ,Birmingham,B46,01675 464014,
449,"Envirotech House,26 Roman Way, Coleshill",1,1,info@envirotechltd.co.uk,Envirotech Building Services Ltd,1,B46 1HQ,Coleshill,B46,03456718271,
450,"Unit 12, The Courtyard,Roman Way",1,1,darren.smith@mitie.com,MITIE Engineering Services Ltd,1,B46 1HQ,Coleshill,B46,07584217166,
451,"20 Chattle Hill,Lichfield Road",0,1,glencharters@hotmail.co.uk,Bellow Alarms & Electrical,0,B46 1LB,Birmingham,B46,01675592011,
452,"127 Coleshill Road,Water Orton",1,1,mj.electrical@btinternet.com,M J Electric's,1,B46 1QD,Birmingham,B46,07891427577,
453,"15 Edward Road,Water Orton",1,1,mgmelectrics@yahoo.co.uk,M G M Electrics,1,B46 1PG,Birmingham,B46,01215744746,
454,"9 Station Road,Whitacre Heath",1,1,julie@blytheelectrical.co.uk,Blythe Electrical (Warwickshire) Ltd,1,B46 2JA,Birmingham,B46,01675464009,
455,"18 Dark Lane,Hollywood",0,1,mattharper1973@me.com,M P Harper Electrical,0,B47 5BT,Birmingham,B47,0121 4308817,
456,"12 Windrush Road,Hollywood",1,1,mpj-electrical@outlook.com,MPJ Electrical,1,B47 5QA,Birmingham,B47,07876236806,www.mpj-electrical.co.uk
457,"26 Windrush Road,Hollywood",0,1,a_peers@yahoo.com,Solihull Electrical Solutions,0,B47 5QA,Birmingham,B47,07900686531,
458,"21 Richmond Close,Hollywood",1,1,chequerselectric@aol.com,Chequers Electric Ltd,1,B47 5QD,Birmingham,B47,0121 474 2487,
459,9 Truemans Heath Lane,0,1,kes.enquiries@live.co.uk,Core Wiring Solutions Ltd,0,B47 5QE,Birmingham,B47,07908634630,
460,"53 Sycamore Drive,Hollywood",1,1,ian.j.dixon@btinternet.com,Dixon Electrical Installation and Maintenance Services,1,B47 5QX,Birmingham,B47,01564824118,
461,"103 Houndsfield Lane,Wythall",1,1,v.davieselectrical@yahoo.co.uk,V Davies Electrical,1,B47 6LX,Birmingham,B47,0121 430 8481,
462,"2 Houndsfield Lane,Wythall",1,1,info@iwantsands.co.uk,Sands Plumbing & Electrical Ltd,1,B47 6LX,Birmingham,B47,01564 700352,www.iwantsands.co.uk
463,"24 Selsdon Close,Wythall",0,1,sales@nuvokitchens.co.uk,Robert Hampton,0,B47 6HP,Birmingham,B47,07722081833,
464,"Carillon House,Chapel Lane, Wythall",1,1,mark.harvey@ims-me.co.uk,IMS Mechanical & Electrical Ltd,1,B47 6JX,Birmingham,B47,01564 821630,
465,"Chapel Lane,Wythall",0,0,Chris.harvey@imseco.co.uk,IMS Energy Services Ltd,0,B47 6JX,Birminghan,B47,01564 821630,
466,"Shepherds Croft, Radford Road,Alvechurch",1,1,jpl.electrical@blueyonder.co.uk,JPL Electrical Ltd,1,B48 7DY,Birmingham,B48,0121 604 6701,
